dof,experiment,response,variable,term,coefficient,unit,nondimensional,nominal_frequency_hz,mean_estimated_frequency_hz,min_estimated_frequency_hz,max_estimated_frequency_hz,included_repeats,reference_speed_m_s,full_r2,fit_quality_flag,standardized_condition_number,assumption_status
sway,sway,Y,v,Y_v@Uref,-0.9375462819,N*s/m,,0.3,0.297063543,0.2970635315,0.2970635525,3,0.2016078472,0.9996727,ok,10.1415,signed C1*Uref derivative at measured tow speed
sway,sway,Y,v,Y_uv,42.59383006,kg/m,0.2631359542,0.4,0.396091255,0.3960912328,0.3960912811,3,0.2016078494,0.998362,ok,9.882456,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_v|v|,-32.14235754,kg/m,-0.1985688986,0.4,0.396091255,0.3960912328,0.3960912811,3,0.2016078494,0.998362,ok,9.882456,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_vdot,-18.60996899,kg,-0.2045704182,0.4,0.396091255,0.3960912328,0.3960912811,3,0.2016078494,0.998362,ok,9.882456,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_v@Uref,8.587250478,N*s/m,,0.4,0.396091255,0.3960912328,0.3960912811,3,0.2016078494,0.998362,ok,9.882456,signed C1*Uref derivative at measured tow speed
sway,sway,Y,v,Y_uv,88.96470117,kg/m,0.549605694,0.5,0.4950689373,0.4950689159,0.4950689589,3,0.2016078655,0.9984174,ok,10.05395,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_v|v|,-53.91572298,kg/m,-0.3330802887,0.5,0.4950689373,0.4950689159,0.4950689589,3,0.2016078655,0.9984174,ok,10.05395,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_vdot,-18.76925858,kg,-0.2063214119,0.5,0.4950689373,0.4950689159,0.4950689589,3,0.2016078655,0.9984174,ok,10.05395,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_v@Uref,17.93598351,N*s/m,,0.5,0.4950689373,0.4950689159,0.4950689589,3,0.2016078655,0.9984174,ok,10.05395,signed C1*Uref derivative at measured tow speed
sway,sway,Y,v,Y_uv,92.91266755,kg/m,0.5739954213,0.6,0.5940458484,0.5940458436,0.594045854,3,0.2016078464,0.9926778,ok,10.08,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_v|v|,-43.13000354,kg/m,-0.2664483241,0.6,0.5940458484,0.5940458436,0.594045854,3,0.2016078464,0.9926778,ok,10.08,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_vdot,-19.04367737,kg,-0.2093379653,0.6,0.5940458484,0.5940458436,0.594045854,3,0.2016078464,0.9926778,ok,10.08,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_v@Uref,18.7319228,N*s/m,,0.6,0.5940458484,0.5940458436,0.594045854,3,0.2016078464,0.9926778,ok,10.08,signed C1*Uref derivative at measured tow speed
sway,sway,Y,v,Y_uv,42.55680473,kg/m,0.2629072193,0.7,0.6929789848,0.6929789663,0.6929790111,3,0.2016078588,0.9962068,ok,10.0916,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_v|v|,-7.805277501,kg/m,-0.04821940502,0.7,0.6929789848,0.6929789663,0.6929790111,3,0.2016078588,0.9962068,ok,10.0916,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_vdot,-18.98684908,kg,-0.2087132794,0.7,0.6929789848,0.6929789663,0.6929790111,3,0.2016078588,0.9962068,ok,10.0916,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
sway,sway,Y,v,Y_v@Uref,8.57978628,N*s/m,,0.7,0.6929789848,0.6929789663,0.6929790111,3,0.2016078588,0.9962068,ok,10.0916,signed C1*Uref derivative at measured tow speed
heave,heave,Z,w,Z_uw,34.84924521,kg/m,0.2152914959,0.1,0.102,0.102,0.102,3,0.2016078452,0.7180679,low_load_fit_r2,6.20766,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w|w|,-11.26050292,kg/m,-0.06956507961,0.1,0.102,0.102,0.102,3,0.2016078452,0.7180679,low_load_fit_r2,6.20766,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_wdot,-3.755898658,kg,-0.04128678343,0.1,0.102,0.102,0.102,3,0.2016078452,0.7180679,low_load_fit_r2,6.20766,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w@Uref,7.025881233,N*s/m,,0.1,0.102,0.102,0.102,3,0.2016078452,0.7180679,low_load_fit_r2,6.20766,signed C1*Uref derivative at measured tow speed
heave,heave,Z,w,Z_uw,29.5660383,kg/m,0.1826529262,0.2,0.1979924765,0.1979923852,0.1979925527,3,0.20160786,0.9770939,ok,9.575206,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w|w|,7.364801713,kg/m,0.04549823586,0.2,0.1979924765,0.1979923852,0.1979925527,3,0.20160786,0.9770939,ok,9.575206,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_wdot,6.172571908,kg,0.06785210751,0.2,0.1979924765,0.1979923852,0.1979925527,3,0.20160786,0.9770939,ok,9.575206,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w@Uref,5.960745711,N*s/m,,0.2,0.1979924765,0.1979923852,0.1979925527,3,0.20160786,0.9770939,ok,9.575206,signed C1*Uref derivative at measured tow speed
heave,heave,Z,w,Z_uw,33.93594562,kg/m,0.2096493182,0.3,0.2970635668,0.2970635543,0.2970635793,2,0.2016078508,0.9940146,ok,10.1415,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w|w|,-2.535743453,kg/m,-0.01566530345,0.3,0.2970635668,0.2970635543,0.2970635793,2,0.2016078508,0.9940146,ok,10.1415,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_wdot,7.199154208,kg,0.07913683188,0.3,0.2970635668,0.2970635543,0.2970635793,2,0.2016078508,0.9940146,ok,10.1415,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w@Uref,6.841753061,N*s/m,,0.3,0.2970635668,0.2970635543,0.2970635793,2,0.2016078508,0.9940146,ok,10.1415,signed C1*Uref derivative at measured tow speed
heave,heave,Z,w,Z_uw,22.96947233,kg/m,0.1419006934,0.4,0.396091244,0.3960912353,0.3960912567,3,0.2016078483,0.7501899,low_load_fit_r2,9.882455,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w|w|,-1.734454151,kg/m,-0.01071510234,0.4,0.396091244,0.3960912353,0.3960912567,3,0.2016078483,0.7501899,low_load_fit_r2,9.882455,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_wdot,7.631280513,kg,0.08388698804,0.4,0.396091244,0.3960912353,0.3960912567,3,0.2016078483,0.7501899,low_load_fit_r2,9.882455,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w@Uref,4.630825893,N*s/m,,0.4,0.396091244,0.3960912353,0.3960912567,3,0.2016078483,0.7501899,low_load_fit_r2,9.882455,signed C1*Uref derivative at measured tow speed
heave,heave,Z,w,Z_uw,-17.35567907,kg/m,-0.107219829,0.5,0.4950689522,0.4950689407,0.4950689751,3,0.2016078616,0.9503738,ok,10.05394,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w|w|,10.72214215,kg/m,0.06623919713,0.5,0.4950689522,0.4950689407,0.4950689751,3,0.2016078616,0.9503738,ok,10.05394,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_wdot,8.247186066,kg,0.09065734089,0.5,0.4950689522,0.4950689407,0.4950689751,3,0.2016078616,0.9503738,ok,10.05394,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w@Uref,-3.499041345,N*s/m,,0.5,0.4950689522,0.4950689407,0.4950689751,3,0.2016078616,0.9503738,ok,10.05394,signed C1*Uref derivative at measured tow speed
heave,heave,Z,w,Z_uw,12.48978331,kg/m,0.07715932199,0.6,0.5940458504,0.5940458219,0.5940458822,3,0.2016078423,0.7862579,low_load_fit_r2,10.07998,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w|w|,-5.875066534,kg/m,-0.03629495718,0.6,0.5940458504,0.5940458219,0.5940458822,3,0.2016078423,0.7862579,low_load_fit_r2,10.07998,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_wdot,8.737484231,kg,0.09604695227,0.6,0.5940458504,0.5940458219,0.5940458822,3,0.2016078423,0.7862579,low_load_fit_r2,10.07998,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w@Uref,2.518038263,N*s/m,,0.6,0.5940458504,0.5940458219,0.5940458822,3,0.2016078423,0.7862579,low_load_fit_r2,10.07998,signed C1*Uref derivative at measured tow speed
heave,heave,Z,w,Z_uw,5.771113918,kg/m,0.03565275923,0.7,0.6929789927,0.6929789903,0.6929789951,2,0.2016078538,0.9591919,ok,10.09157,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w|w|,-21.63912683,kg/m,-0.1336820915,0.7,0.6929789927,0.6929789903,0.6929789951,2,0.2016078538,0.9591919,ok,10.09157,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_wdot,8.916602578,kg,0.09801591392,0.7,0.6929789927,0.6929789903,0.6929789951,2,0.2016078538,0.9591919,ok,10.09157,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
heave,heave,Z,w,Z_w@Uref,1.163501891,N*s/m,,0.7,0.6929789927,0.6929789903,0.6929789951,2,0.2016078538,0.9591919,ok,10.09157,signed C1*Uref derivative at measured tow speed
pitch,pitch,M,q,M_uq,-1.396492154,kg*m,-0.02731488448,0.1,0.102,0.102,0.102,3,0.2095036047,0.5879508,low_load_fit_r2,6.970401,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q|q|,2.014885397,kg*m^2,0.07012532736,0.1,0.102,0.102,0.102,3,0.2095036047,0.5879508,low_load_fit_r2,6.970401,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_qdot,-0.06249458383,kg*m^2,-0.00217503842,0.1,0.102,0.102,0.102,3,0.2095036047,0.5879508,low_load_fit_r2,6.970401,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q@Uref,-0.2925701403,N*m*s,,0.1,0.102,0.102,0.102,3,0.2095036047,0.5879508,low_load_fit_r2,6.970401,signed C1*Uref derivative at measured tow speed
pitch,pitch,M,q,M_uq,-0.3280617769,kg*m,-0.006416770412,0.2,0.1979898297,0.1979839217,0.1979939988,3,0.2106082277,0.953873,ok,8.482228,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q|q|,0.05796389157,kg*m^2,0.002017353879,0.2,0.1979898297,0.1979839217,0.1979939988,3,0.2106082277,0.953873,ok,8.482228,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_qdot,-0.1068859512,kg*m^2,-0.003720019177,0.2,0.1979898297,0.1979839217,0.1979939988,3,0.2106082277,0.953873,ok,8.482228,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q@Uref,-0.06909250941,N*m*s,,0.2,0.1979898297,0.1979839217,0.1979939988,3,0.2106082277,0.953873,ok,8.482228,signed C1*Uref derivative at measured tow speed
pitch,pitch,M,q,M_uq,-0.1818627045,kg*m,-0.003557169117,0.3,0.2970670972,0.2970552133,0.2970743953,3,0.2039659634,0.9762075,ok,7.954919,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q|q|,0.03194854121,kg*m^2,0.001111925231,0.3,0.2970670972,0.2970552133,0.2970743953,3,0.2039659634,0.9762075,ok,7.954919,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_qdot,-0.1457586726,kg*m^2,-0.005072931022,0.3,0.2970670972,0.2970552133,0.2970743953,3,0.2039659634,0.9762075,ok,7.954919,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q@Uref,-0.03709380173,N*m*s,,0.3,0.2970670972,0.2970552133,0.2970743953,3,0.2039659634,0.9762075,ok,7.954919,signed C1*Uref derivative at measured tow speed
pitch,pitch,M,q,M_uq,-0.2475747799,kg*m,-0.004842473688,0.4,0.3960842088,0.3960712262,0.3961038432,3,0.1953292043,0.9974546,ok,6.886256,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q|q|,0.13109748,kg*m^2,0.004562668287,0.4,0.3960842088,0.3960712262,0.3961038432,3,0.1953292043,0.9974546,ok,6.886256,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_qdot,-0.1607112924,kg*m^2,-0.005593336481,0.4,0.3960842088,0.3960712262,0.3961038432,3,0.1953292043,0.9974546,ok,6.886256,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q@Uref,-0.04835858476,N*m*s,,0.4,0.3960842088,0.3960712262,0.3961038432,3,0.1953292043,0.9974546,ok,6.886256,signed C1*Uref derivative at measured tow speed
pitch,pitch,M,q,M_uq,-0.1718289145,kg*m,-0.003360911792,0.5,0.4950708495,0.4950529659,0.4950900937,3,0.1920832071,0.9986636,ok,6.103703,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q|q|,0.1361332881,kg*m^2,0.004737932691,0.5,0.4950708495,0.4950529659,0.4950900937,3,0.1920832071,0.9986636,ok,6.103703,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_qdot,-0.1637351106,kg*m^2,-0.005698576332,0.5,0.4950708495,0.4950529659,0.4950900937,3,0.1920832071,0.9986636,ok,6.103703,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q@Uref,-0.03300544896,N*m*s,,0.5,0.4950708495,0.4950529659,0.4950900937,3,0.1920832071,0.9986636,ok,6.103703,signed C1*Uref derivative at measured tow speed
pitch,pitch,M,q,M_uq,0.01912676408,kg*m,0.0003741126291,0.6,0.5940519176,0.5940374349,0.5940625349,3,0.197076803,0.9989232,ok,5.549701,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q|q|,0.1127839795,kg*m^2,0.003925291978,0.6,0.5940519176,0.5940374349,0.5940625349,3,0.197076803,0.9989232,ok,5.549701,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_qdot,-0.1641317232,kg*m^2,-0.00571237989,0.6,0.5940519176,0.5940374349,0.5940625349,3,0.197076803,0.9989232,ok,5.549701,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q@Uref,0.003769441517,N*m*s,,0.6,0.5940519176,0.5940374349,0.5940625349,3,0.197076803,0.9989232,ok,5.549701,signed C1*Uref derivative at measured tow speed
pitch,pitch,M,q,M_uq,0.1681558882,kg*m,0.003289068719,0.7,0.6929686309,0.6929486733,0.6929792621,3,0.2057697922,0.9977162,ok,4.940187,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q|q|,0.1117998112,kg*m^2,0.003891039349,0.7,0.6929686309,0.6929486733,0.6929792621,3,0.2057697922,0.9977162,ok,4.940187,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_qdot,-0.1633595087,kg*m^2,-0.005685504021,0.7,0.6929686309,0.6929486733,0.6929792621,3,0.2057697922,0.9977162,ok,4.940187,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
pitch,pitch,M,q,M_q@Uref,0.03460140218,N*m*s,,0.7,0.6929686309,0.6929486733,0.6929792621,3,0.2057697922,0.9977162,ok,4.940187,signed C1*Uref derivative at measured tow speed
yaw,yaw,N,r,N_ur,-0.3501757153,kg*m,-0.006849311099,0.1,0.102,0.102,0.102,3,0.2015874219,0.9731779,ok,6.210587,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
yaw,yaw,N,r,N_r|r|,0.2663336713,kg*m^2,0.009269378754,0.1,0.102,0.102,0.102,3,0.2015874219,0.9731779,ok,6.210587,0.562 m PMM scale; independent nominal-frequency fit; PLA wet rigid mass uses +15% CAD density correction then +2.5% water uptake; free water excluded; full sensor reaction wrench negated; timing and wrench origin remain systematic assumptions
